"","x"
"1","Northland"
"2","Whangarei"
"3","Coromandel"
"4","Waikato"
"5","Taranaki-King Country"
"6","Hamilton West"
"7","Hamilton East"
"8","Taupo"
"9","Bay of Plenty"
"10","Rotorua"
"11","East Coast"
"12","Tauranga"
"13","Napier"
"14","Tukituki"
"15","Wairarapa"
"16","New Plymouth"
"17","Whanganui"
"18","Rangitikei"
"19","Palmerston North"
"20","Otaki"
"21","Mana"
"22","Rimutaka"
"23","Hutt South"
"24","Wellington Central"
"25","Ohariu"
"26","Rongotai"
"27","West Coast-Tasman"
"28","Nelson"
"29","Kaikoura"
"30","Waimakariri"
"31","Selwyn"
"32","Wigram"
"33","Port Hills"
"34","Ilam"
"35","Christchurch Central"
"36","Christchurch East"
"37","Rangitata"
"38","Waitaki"
"39","Dunedin North"
"40","Clutha-Southland"
"41","Dunedin South"
"42","Invercargill"
"43","Helensville"
"44","Rodney"
"45","Te Atatu"
"46","Upper Harbour"
"47","Kelston"
"48","Hunua"
"49","New Lynn"
"50","Northcote"
"51","East Coast Bays"
"52","Mt Albert"
"53","Mt Roskill"
"54","Auckland Central"
"55","North Shore"
"56","Epsom"
"57","Mangere"
"58","Maungakiekie"
"59","Papakura"
"60","Tamaki"
"61","Manukau East"
"62","Manurewa"
"63","Pakuranga"
"64","Botany"
